Verum V,La Mancha_01,VT.Castilla,Tempranillo_1,,,Verum V,Red Wine,2009,0.14 ,
Verum Tinto,La Mancha_06,VT.Castilla,Merlot_/Cabernet Sauvignon_/Tempranillo,,,Verum Tinto,Red Wine,2011,0.14 ,
Verum Roble,La Mancha_08,VT.Castilla,Cabernet Sauvignon_/Merlot_/Tempranillo_/,,,Verum Roble,Red Wine,2012,0.13 ,
La Posada Tempranillo,La Mancha_02,La Mancha,Tempranillo_1,,,La Posada Tempranillo,Red Wine,2013,0.14 ,
VETIVER BLANCO / 维迪亚干白葡萄酒,White& Rose& Sparkling_02,Rioja,VIURA _1,,,VETIVER BLANCO / 维迪亚干白葡萄酒,White Wine,2013,0.13 ,
Dondón  Tinto Joven-拉蒙河畔干红葡萄酒,Rioja-1_01,Rioja,Tempranillo,,,Dondón  Tinto Joven-拉蒙河畔干红葡萄酒,Red Wine,2014,0.14 ,
ONTAÑÓN CRIANZA / 望隆陈酿干红葡萄酒,Rioja-1_02,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,ONTAÑÓN CRIANZA / 望隆陈酿干红葡萄酒,Red Wine,2011,0.13 ,
Tierra CRIANZA ,Rioja-1_03,Rioja, Tempranillo_1,,,Tierra CRIANZA ,Red Wine,2011,0.14 ,
LA HOJA CRIANZA,Rioja-1_04,Rioja,Tempranillo_1,,,LA HOJA CRIANZA,Red Wine,2011,0.14 ,
DON JACOBO VITICULTURA ECOLOGICA,Rioja-1_05,Rioja,Mazuelo_0.5/Tempranillo_0.5,,,DON JACOBO VITICULTURA ECOLOGICA,Red Wine,2011,0.14 ,
CAMPOLOSA,Rioja-1_06,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,CAMPOLOSA,Red Wine,2011,0.14 ,
VIÑA POMAL CENTENARIO RESERVA,Rioja-1_07,Rioja,TEMPRANILLO_1,,,VIÑA POMAL CENTENARIO RESERVA,Red Wine,2010,0.14 ,
Torre de Oña Reserva,Rioja-1_08,Rioja,Tempranillo_0.95/Mazuelo_0.05,,,Torre de Oña Reserva,Red Wine,2010,0.14 ,
ANNA DE CODORNIU BLANC DE BLANCS RESERVA,White& Rose& Sparkling_01,Cava,"CHARDONNAY_0.7/MACABEO, XARELO, PARELLADA_0.3",,,ANNA DE CODORNIU BLANC DE BLANCS RESERVA,Sparkling Wine,NV,0.12 ,
"Valdubon Reserva 2009
维尔博庄园珍藏干红葡萄酒 2009",Ribera del Duero_07,Ribera del Duero,Tempranillo_1,,,"Valdubon Reserva 2009
维尔博庄园珍藏干红葡萄酒 2009",Red Wine,2009,0.14 ,
"VIONTA ALBARIÑO 2013
 维恩达庄园干白葡萄酒 2013",White& Rose& Sparkling_05,"Rías Baixas
下海湾法定产区",Albariño_1,,,"VIONTA ALBARIÑO 2013
 维恩达庄园干白葡萄酒 2013",White Wine,2013,0.13 ,
DON JACOBO CRIANZA,Rioja-1_09,Rioja,"Tempranillo_0.85/Garnacha_0.1/Mazuelo,Graciano_0.05",,,DON JACOBO CRIANZA,Red Wine,2010,0.14 ,
ALTOS DE CORRAL,Rioja-2_01,Rioja,Tempranillo_1,,,ALTOS DE CORRAL,Red Wine,2010,0.14 ,
LAETUS,Rioja-2_02,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,LAETUS,Red Wine,2010,0.14 ,
MARQUES DE VARGAS RESERVA 2010,Rioja-2_03,Rioja,Tempranillo_0.75/Mazuelo_0.1/Garnacha_0.05/Others_0.1,,,MARQUES DE VARGAS RESERVA 2010,Red Wine,2010,0.14 ,
Cerror Moreno Reserva,Rioja-2_04,Rioja,Tempranillo_1,,,Cerror Moreno Reserva,Red Wine,2009,0.14 ,
ORTEGA EZQUERRO RESERVA 2009,Rioja-2_05,Rioja,Tempranillo_/Grenache_,,,ORTEGA EZQUERRO RESERVA 2009,Red Wine,2009,0.13 ,
Quinux Reserva,Ribera del Duero_09,Ribera del Duero,Tempranillo_1,,,Quinux Reserva,Red Wine,2007,0.14 ,
"Rioja Bordón Crianza
里奥哈波顿佳酿干红葡萄酒",Rioja-2_06,Rioja,Tempranillo_0.8/Garnacha_0.2,,,"Rioja Bordón Crianza
里奥哈波顿佳酿干红葡萄酒",Red Wine,2009,0.14 ,
"Solar Viejo Reserva 2008 
古拉索庄园珍藏干红葡萄酒 2008",Rioja-2_07,Rioja,Tempranillo_0.8/Graciano_0.2,,,"Solar Viejo Reserva 2008 
古拉索庄园珍藏干红葡萄酒 2008",Red Wine,2008,0.14 ,
TEÓFILO REYES,Ribera del Duero_03,Ribera del Duero,Tempranillo_1,,,TEÓFILO REYES,Red Wine,2011,0.15 ,
TINTO FIGUERO 4 ROBLE,Ribera del Duero_02,Ribera del Duero,Tempranillo_1,,,TINTO FIGUERO 4 ROBLE,Red Wine,2013,0.14 ,
Tinto FIGUERO 12 CRIANZA,Ribera del Duero_06,Ribera del Duero,Tempranillo_1,,,Tinto FIGUERO 12 CRIANZA,Red Wine,2009,0.14 ,
Tinto FIGUERO 15 Reserva,Ribera del Duero_05,Ribera del Duero,Tempranillo_1,,,Tinto FIGUERO 15 Reserva,Red Wine,2009,0.15 ,
CASONA DE LA VILLA SYRAH,La Mancha_09,CASTILLA LA MANCHA,SYRAH_1,,,CASONA DE LA VILLA SYRAH,Red Wine,2012,0.14 ,
FINCA LA ALMUNIA,La Mancha_03,CASTILLA LA MANCHA,Tempranillo_1,,,FINCA LA ALMUNIA,Red Wine,2014,0.14 ,
PASION FLAMENCA,La Mancha_04,CASTILLA LA MANCHA,Tempranillo_1,,,PASION FLAMENCA,Red Wine,2014,0.12 ,
Manto Malvasía Volcánica seco,White& Rose& Sparkling_06,Lanzarote,Malvasía Volcánica_1,,,Manto Malvasía Volcánica seco,White Wine,2014,0.13 ,
La Vicalanda Gran Reserva,Rioja-2_08,Rioja,TEMPRANILLO_1,,,La Vicalanda Gran Reserva,Red Wine,2008,0.14 ,
"Rioja Bordón Reserva
里奥哈波顿珍藏干红葡萄酒",Rioja-2_09,Rioja,Tempranillo_0.8/Garnacha_0.15/Mazuelo_0.05,,,"Rioja Bordón Reserva
里奥哈波顿珍藏干红葡萄酒",Red Wine,2008,0.14 ,
FERRATUS SENSACIONES 2006,Ribera del Duero_10,Ribera del Duero,Tempranillo_1,,,FERRATUS SENSACIONES 2006,Red Wine,2006,0.15 ,
MARQUES DE SANGOR CRIANZA 2011,Others_05,Catalunya,Tempranillo_/Merlot_,,,MARQUES DE SANGOR CRIANZA 2011,Red Wine,2011,0.13 ,
JAUME GRAU I GRAU SENSUS CRIANZA 2012,Others_11,Pla del Bages,Cabernet franc.Syrah,,,JAUME GRAU I GRAU SENSUS CRIANZA 2012,Red Wine,2012,0.13 ,
Finca  Valpiedra Reserva,Rioja-3_01,Rioja,Tempranillo_0.94/Graciano_0.03/Maturana Tinta_0.03,,,Finca  Valpiedra Reserva,Red Wine,2008,0.14 ,
CASONA DE LA VILLA,La Mancha_07,CASTILLA LA MANCHA,MERLOT_1,,,CASONA DE LA VILLA,Red Wine,2012,0.14 ,
GRAN COLEGIATA CAMPUS,Others_01,Toro,TINTA DE TORO_/,,,GRAN COLEGIATA CAMPUS,Red Wine,2008,0.15 ,
GRAN COLEGIATA RESERVA,Others_02,Toro,TINTA DE TORO_1,,,GRAN COLEGIATA RESERVA,Red Wine,2008,0.14 ,
GRAN COLEGIATA BARRICA,Others_03,Toro,TINTA DE TORO_1,,,GRAN COLEGIATA BARRICA,Red Wine,2011,0.14 ,
Dondón Reserva-拉蒙河畔珍藏葡萄酒,Rioja-3_02,Rioja,Tempranillo_/Mazuelo_/Graciano_,,,Dondón Reserva-拉蒙河畔珍藏葡萄酒,Red Wine,2007,0.14 ,
Viña Bujanda Gran Reserva,Rioja-3_03,Rioja,Tempranillo,,,Viña Bujanda Gran Reserva,Red Wine,2007,0.14 ,
Viña Arana Reserva,Rioja-3_04,Rioja,Tempranillo_0.95/Mazuelo_0.05,,,Viña Arana Reserva,Red Wine,2006,0.13 ,
Colonizadores Gran Reserva,Rioja-3_05,Rioja,Tempranillo_1,,,Colonizadores Gran Reserva,Red Wine,2006,0.14 ,
"Rioja Bordón Gran Reserva
里奥哈波顿特级珍藏干红葡萄酒",Rioja-3_06,Rioja,Tempranillo_0.7/Mazuelo_0.2/Graciano_0.1,,,"Rioja Bordón Gran Reserva
里奥哈波顿特级珍藏干红葡萄酒",Red Wine,2006,0.14 ,
Dondón Rosado-拉蒙河畔桃红葡萄酒,White& Rose& Sparkling_07,Rioja,Tempranillo_/Garnacha tinta,,,Dondón Rosado-拉蒙河畔桃红葡萄酒,Rosado/Rosé/桃红,2014,0.13 ,
ONTAÑÓN GRAN RESERVA / 望隆特级珍藏干红葡萄酒,Rioja-3_07,Rioja,Temparnillo_0.85/Graciano_0.15,,,ONTAÑÓN GRAN RESERVA / 望隆特级珍藏干红葡萄酒,Red Wine,2005,0.13 ,
CARABAL CAVEA ,Others_07,D.O. RIBERA DEL GUADIANA,CABERNET SAUVIGNON_0.4/SYRAH_0.35/GRACIANO_0.15/TEMPRANILLO_0.1,,,CARABAL CAVEA ,Red Wine,2008,0.15 ,
CARABAL GULAE ,Others_06,D.O. RIBERA DEL GUADIANA,MALBEC_0.6/PETIT VERDOT_0.4,,,CARABAL GULAE ,Red Wine,2010,0.15 ,
RESALTE CRIANZA,Ribera del Duero_04,Ribera del Duero,Tempranillo_1,,,RESALTE CRIANZA,Red Wine,2010,0.15 ,
RESALTE RESERVA,Ribera del Duero_08,Ribera del Duero,Tempranillo_1,,,RESALTE RESERVA,Red Wine,2009,0.15 ,
PEÑA ROBLE,Ribera del Duero_01,Ribera del Duero,Tempranillo_1,,,PEÑA ROBLE,Red Wine,2013,0.14 ,
Otazu Premium Cuvée,Others_08,Navarra,Cabernet Sauvignon_0.55/Tempranillo_0.35/Merlot_0.15,,,Otazu Premium Cuvée,Red Wine,2012,0.14 ,
Señorío de Otazu D.O.P. Pago de Otazu,Others_09,"Pago de Otazu, Navarra",Cabernet Sauvignon_0.85/Tempranillo_0.1/Merlot_0.05,,,Señorío de Otazu D.O.P. Pago de Otazu,Red Wine,2008,0.14 ,
Altar,Others_10,"Navarra, Spain",Cabernet Sauvignon_0.95/Merlot_0.05,,,Altar,Red Wine,2007,0.15 ,
ERESMA,White& Rose& Sparkling_03,Rueda,VERDEJO_1,,,ERESMA,White Wine,2014,0.13 ,
ERESMA FERMENTADO EN BARRICA,White& Rose& Sparkling_04,Rueda,VERDEJO_1,,,ERESMA FERMENTADO EN BARRICA,White Wine,2012,0.13 ,
ONTAÑÓN RESERVA /望隆珍藏干红葡萄酒,Rioja-3_08,Rioja,Tempranillo_0.95/Graciano_0.05,,,ONTAÑÓN RESERVA /望隆珍藏干红葡萄酒,Red Wine,2005,0.13 ,
Finca Antigua Reserva,La Mancha_05,La Mancha,Merlot_0.5/Cabernet Sauvignon_0.25/Syrah_0.25,,,Finca Antigua Reserva,Red Wine,2004,0.14 ,
Viña Ardanza Reserva,Rioja-3_09,Rioja,Tempranillo_0.8/Garnacha_0.2,,,Viña Ardanza Reserva,Red Wine,2005,0.14 ,
TEMPERANCIA,Others_04,D.O. Toro,Tinta de toro_1,,,TEMPERANCIA,Red Wine,2006,0.15 ,